time,equity
1741622400000,1000.00000000
1741626000000,1000.00000000
1741629600000,1000.00000000
1741633200000,1000.00000000
1741636800000,1000.00000000
1741640400000,1000.00000000
1741644000000,1000.00000000
1741647600000,1000.00000000
1741651200000,1000.00000000
1741654800000,1000.00000000
1741658400000,1000.00000000
1741662000000,1000.00000000
1741665600000,1000.00000000
1741669200000,1000.00000000
1741672800000,1000.00000000
1741676400000,1000.00000000
1741680000000,1000.00000000
1741683600000,1000.00000000
1741687200000,1000.00000000
1741690800000,1000.00000000
1741694400000,1000.00000000
1741698000000,1000.00000000
1741701600000,1000.00000000
1741705200000,1000.00000000
1741708800000,1000.00000000
1741712400000,1000.00000000
1741716000000,1000.00000000
1741719600000,1000.00000000
1741723200000,1000.00000000
1741726800000,1000.00000000
1741730400000,1000.00000000
1741734000000,1000.00000000
1741737600000,1000.00000000
1741741200000,1000.00000000
1741744800000,1000.00000000
1741748400000,1000.00000000
1741752000000,1000.00000000
1741755600000,1000.00000000
1741759200000,1000.00000000
1741762800000,1000.00000000
1741766400000,1000.00000000
1741770000000,1000.00000000
1741773600000,1000.00000000
1741777200000,1000.00000000
1741780800000,1000.00000000
1741784400000,1000.00000000
1741788000000,1000.00000000
1741791600000,1000.00000000
1741795200000,1000.00000000
1741798800000,1000.00000000
1741802400000,1000.00000000
1741806000000,1000.00000000
1741809600000,1000.00000000
1741813200000,1000.00000000
1741816800000,1000.00000000
1741820400000,1000.00000000
1741824000000,1000.00000000
1741827600000,1000.00000000
1741831200000,1000.00000000
1741834800000,1000.00000000
1741838400000,1000.00000000
1741842000000,1000.00000000
1741845600000,1000.00000000
1741849200000,1000.00000000
1741852800000,1000.00000000
1741856400000,1000.00000000
1741860000000,1000.00000000
1741863600000,1000.00000000
1741867200000,1000.00000000
1741870800000,1000.00000000
1741874400000,1000.00000000
1741878000000,1000.00000000
1741881600000,1000.00000000
1741885200000,1000.00000000
1741888800000,1000.00000000
1741892400000,1000.00000000
1741896000000,1000.00000000
1741899600000,1000.00000000
1741903200000,1000.00000000
1741906800000,1000.00000000
1741910400000,1000.00000000
1741914000000,1000.00000000
1741917600000,1000.00000000
1741921200000,1000.00000000
1741924800000,1000.00000000
1741928400000,1000.00000000
1741932000000,1000.00000000
1741935600000,1000.00000000
1741939200000,1000.00000000
1741942800000,1000.00000000
1741946400000,1000.00000000
1741950000000,1000.00000000
1741953600000,1000.00000000
1741957200000,1000.00000000
1741960800000,1000.00000000
1741964400000,1000.00000000
1741968000000,1000.00000000
1741971600000,1000.00000000
1741975200000,1000.00000000
1741978800000,1000.00000000
1741982400000,1000.00000000
1741986000000,1000.00000000
1741989600000,1000.00000000
1741993200000,1000.00000000
1741996800000,1000.00000000
1742000400000,1000.00000000
1742004000000,1000.00000000
1742007600000,1000.00000000
1742011200000,1000.00000000
1742014800000,1000.00000000
1742018400000,1000.00000000
1742022000000,1000.00000000
1742025600000,1000.00000000
1742029200000,1000.00000000
1742032800000,1000.00000000
1742036400000,1000.00000000
1742040000000,1000.00000000
1742043600000,1000.00000000
1742047200000,1000.00000000
1742050800000,1000.00000000
1742054400000,1000.00000000
1742058000000,1000.00000000
1742061600000,1000.00000000
1742065200000,1000.00000000
1742068800000,1000.00000000
1742072400000,1000.00000000
1742076000000,1000.00000000
1742079600000,1000.00000000
1742083200000,1000.00000000
1742086800000,1000.00000000
1742090400000,1000.00000000
1742094000000,1000.00000000
1742097600000,1000.00000000
1742101200000,1000.00000000
1742104800000,1000.00000000
1742108400000,1000.00000000
1742112000000,1000.00000000
1742115600000,1000.00000000
